year,n_test_hours,naive_mae,naive_mape,model_a_mae,model_a_mape,model_b_mae,model_b_mape
2013,8760,3317.06700913242,10.131722295246158,1614.4168302053333,5.020979886018359,1621.6518337574514,5.0504939076748485
2014,8760,2990.576826484018,9.191596659025855,1663.619947209729,5.165577793548168,1670.362117279532,5.182062847612406
2015,8760,3301.0152968036527,10.121779107956142,1666.1355546943735,5.16542129968432,1661.440239721266,5.155461488191515
2016,8784,3323.4976092896177,10.241599710971796,1685.8646329313235,5.225610346874585,1677.4454382724598,5.205049565046765
2017,8760,3446.4924657534248,10.922681069962344,1758.5033930991112,5.66994189760766,1753.449214319996,5.650011156509973
2018,5137,3621.4905586918435,11.110748466797798,2044.1291571135318,6.325042253753583,2044.6546444624898,6.317036523600322
